,gesamtmiete,pred
2170,475.0,539.4
2516,480.0,522.8
634,790.0,597.5
11191,630.0,550.8
5327,411.0,435.4
6593,375.0,416.5
1646,470.0,476.0
13378,450.0,507.2
8835,320.0,354.9
11155,398.0,376.2
6005,363.0,431.4
7157,435.0,471.1
1119,500.0,522.1
10037,700.0,663.4
1508,480.0,431.5
4284,650.0,627.2
2466,180.0,524.3
13755,620.0,508.8
13600,880.0,543.2
7957,380.0,341.6
12469,375.0,379.3
8672,375.0,392.3
8780,545.0,528.0
5996,310.0,359.4
11956,320.0,406.4
11984,500.0,512.9
1512,355.0,414.7
1038,600.0,563.5
14073,500.0,539.2
4790,590.0,619.0
4272,280.0,455.1
5285,450.0,476.3
6545,480.0,433.8
8517,482.0,564.0
6650,480.0,509.7
6046,440.0,482.3
3171,470.0,417.5
9815,550.0,547.9
2462,795.0,668.9
10273,450.0,427.0
10240,400.0,398.1
4835,450.0,458.8
5461,525.0,431.3
702,600.0,536.5
4592,700.0,594.2
5452,380.0,381.6
12596,400.0,443.2
9649,395.0,498.4
8411,450.0,389.5
8695,400.0,464.2
9434,324.0,374.4
197,695.0,612.0
2094,400.0,433.3
656,342.0,453.2
12557,400.0,421.8
12009,530.0,456.7
14047,843.0,653.1
5736,420.0,392.5
10071,330.0,391.9
1852,753.0,527.2
10077,400.0,481.0
12052,480.0,422.7
2710,750.0,530.8
7050,420.0,498.2
5207,554.0,484.7
1123,560.0,619.0
3122,650.0,604.2
14377,400.0,375.4
12044,690.0,522.7
9003,395.0,406.1
3787,600.0,575.4
5817,450.0,417.7
3654,430.0,480.6
12949,460.0,445.7
6029,450.0,411.6
7970,440.0,443.3
8853,650.0,635.4
1503,650.0,509.4
7478,500.0,537.8
11433,250.0,445.6
410,490.0,510.7
8997,600.0,447.5
3129,304.0,367.6
389,410.0,524.2
10771,300.0,467.2
13258,265.0,327.4
2378,750.0,608.5
12950,240.0,346.6
9840,330.0,485.2
509,900.0,847.7
6132,422.0,413.8
3330,510.0,431.5
3708,850.0,614.4
13275,459.0,452.1
13483,400.0,511.6
8936,550.0,576.9
311,500.0,467.6
7298,323.0,536.9
13147,500.0,538.3
